HGNC.symbol	MGI.symbol
ZNF24	Zfp24
ZNF549	Zfy1
ZNF549	Zfy2
CDX1	Cdx1
E2F6	E2f6
NR1I2	Nr1i2
NFE2	Nfe2
ZNF418	Zfy1
ZNF418	Zfy2
ZNF610	Zfy1
ZNF610	Zfy2
SRY	Sry
SREBF2	Srebf2
SOX21	Sox21
OLIG1	Olig1
TFAP2A	Tfap2a
ZNF682	Zfp457
ZNF682	Zfp595
ZNF682	Zfp953
ZNF682	Gm49345
ZNF682	Zfp738
DMRT3	Dmrt3
GATA4	Gata4
OVOL1	Ovol1
ZNF274	Zfp369
RHOXF1	Rhox13
OLIG2	Olig2
TGIF2LX	Tgif2lx2
TGIF2LX	Tgif2lx1
HESX1	Hesx1
KLF9	Klf9
NKX2-8	Nkx2-9
FOXA1	Foxa1
RFX3	Rfx3
FOS	Fos
KLF5	Klf5
BATF	Batf
HIC2	Hic2
SHOX	Rhox10
POU3F4	Pou3f4
KLF12	Klf12
ZBTB33	Zbtb33
EGR1	Egr1
POU4F1	Pou4f1
ESRRB	Esrrb
PAX9	Pax9
CEBPD	Cebpd
ZNF85	Zfp457
ZNF85	Zfp595
ZNF85	Zfp953
ZNF85	Gm49345
ZNF85	Zfp738
FOSL1	Fosl1
JDP2	Jdp2
GCM2	Gcm2
KLF11	Klf11
ONECUT2	Onecut2
TGIF2LY	Tgif2lx2
TGIF2LY	Tgif2lx1
FOXD1	Foxd1
RELA	Rela
GRHL1	Grhl1
SNAI2	Snai2
MYC	Myc
NR3C2	Nr3c2
RFX5	Rfx5
GSC2	Gsc2
GLIS3	Glis3
NFATC3	Nfatc3
NR3C1	Nr3c1
SOX4	Sox4
ZNF282	Zfp282
SATB1	Satb1
EMX2	Emx2
ELF4	Elf4
BARX1	Barx1
TBX1	Tbx1
ZIC5	Zic5
POU4F3	Pou4f3
CTCF	Ctcf
PBX2	Pbx2
GATA2	Gata2
SIX2	Six2
ETS2	Ets2
FOXP3	Foxp3
ZFP42	Zfp42
NFYA	Nfya
FOXN3	Foxn3
MYBL1	Mybl1
EGR3	Egr3
POU4F2	Pou4f2
SOX2	Sox2
HMBOX1	Hmbox1
RFX4	Rfx4
MYCN	Mycs
RAX	Rax
VAX1	Vax1
POU5F1	Pou5f1
TCF4	Tcf4
IRF4	Irf4
KLF1	Klf1
NKX2-3	Nkx2-3
FOXH1	Foxh1
KLF10	Klf10
CREM	Crem
BHLHE41	Bhlhe41
ETV5	Etv5
ESR2	Esr2
FOXG1	Foxg1
RFX2	Rfx2
RARA	Rara
E2F3	E2f3
POU1F1	Pou1f1
NR4A1	Nr4a1
REL	Rel
THRA	Thra
ZBTB7C	Zbtb7c
SPIC	Spic
PKNOX2	Pknox2
OTX2	Otx2
TWIST1	Twist1
ZNF449	Zfp449
ATOH7	Atoh7
ETS1	Ets1
TFDP1	Tfdp1
GLIS2	Glis2
FOXC1	Foxc1
NR1D1	Nr1d1
ETV1	Etv1
MSX2	Msx2
GRHL2	Grhl2
TP63	Trp63
TFAP4	Tfap4
SIX1	Six1
POU6F1	Pou6f1
RREB1	Rreb1
LBX1	Lbx1
NEUROG2	Neurog2
OSR2	Osr2
ISL2	Isl2
EGR2	Egr2
SCRT1	Scrt1
SP4	Sp4
GATA1	Gata1
GABPA	Gabpa
ETV3	Etv3
KLF6	Klf6
BARHL2	Barhl2
SMAD2	Smad2
TEAD4	Tead4
DLX6	Dlx6
HSF1	Hsf1
DRGX	Prrxl1
PRDM1	Prdm1
ZKSCAN5	Zkscan5
RFX1	Rfx1
HEY2	Hey2
NFIX	Nfix
FERD3L	Ferd3l
TBX18	Tbx18
NR2F1	Nr2f1
MEF2D	Mef2d
MEOX2	Meox2
PAX2	Pax2
ZBTB12	Zbtb12
BARX2	Barx2
HIF1A	Hif1a
POU5F1B	Pou5f1
ZNF263	Zfp263
NR2C2	Nr2c2
TCF7L1	Tcf7l1
ELF2	Elf2
KLF15	Klf15
GLIS1	Glis1
ZBTB18	Zbtb18
ZNF384	Zfp384
BHLHA15	Bhlha15
FOXP2	Foxp2
PAX3	Pax3
ESX1	Esx1
BACH1	Bach1
TGIF1	Tgif1
FLI1	Fli1
NKX6-1	Nkx6-1
MEF2C	Mef2c
